Company,Position,Website,Application site,Location,Remote,Date sent,Easy Application?,Days Since,Response?,Date Interview,Date of 1st Response,Time to First Response,Time to Rejection,Wage.Amount,Paid? ,Salary.Amount,Wage/Salary/Contract,Job Offer,Job Level,Job Type,Company Type,Current Date
Monterey County,Systems Analyst II,Job Opportunities | Central Coast Community Energy Careers (governmentjobs.com),Company Site,CA,n,11/14/2021,n,484,Rejected,,11/30/2021,16,16,,Yes,"55,000",Salary,No,Entry,IT,Government,3/13/2023 18:51:27
Lotus Capital LLc,Credit Specialist,Linkedin,LinkedIn,Remote,y,11/13/2021,y,485,Ghosted,,,,,,,,,No,Entry,Data Science,Finance,3/13/2023 18:51:27
Cella,Audience Analyst,Linkedin,LinkedIn,Remote,y,11/14/2021,y,484,Ghosted,,,,,,,,,No,Entry,Data Science,Staffing,3/13/2023 18:51:27
CPR Cell Phone ,Repair Technician,Linkedin,LinkedIn,CA,n,11/13/2021,y,485,Ghosted,,,,,,,,,No,Entry,IT,Retail,3/13/2023 18:51:27
Target,Everything,targets page,Company Site,CA,n,11/13/2021,n,485,Rejected,,11/14/2021,1,1,15,Yes,,Wage,No,Entry,Retail,Retail,3/13/2023 18:51:27
Take2,Junior Data Scientist,Dice,Dice,Remote,y,11/15/2021,y,483,Ghosted,,,,,,,,,No,Entry,IT,Consulting,3/13/2023 18:51:27
BlueOwl LLC,Data Engineer [Remote],jobsite page,Company Site,Remote,y,11/18/2021,n,480,Rejected,,11/19/2021,1,1,,,,,No,Entry,Data Science,Software,3/13/2023 18:51:27
YipitData,Junior Data Analyst,jobsite page,Company Site,Remote,y,11/18/2021,n,480,Rejected,,11/21/2021,3,3,,,,,No,Entry,Data Science,Research,3/13/2023 18:51:27
Mobinity Global,Intern,Linkedin,LinkedIn,Remote,y,11/21/2021,y,477,Interview,,11/24/2021,3,3,,,,,No,Intern,IT,Software,3/13/2023 18:51:27
O'Reilly Auto Parts,Network Operations Center Analyst,Linkedin,LinkedIn,MO,y,11/21/2021,y,477,Ghosted,,,,,,Yes,"55,000",Salary,No,Entry,IT,Retail,3/13/2023 18:51:27
Salinas Valley Memorial Healthcare System,Lab Aide,pm.healthcaresource.com,Company Site,CA,n,11/22/2021,n,476,Position Removed,,11/22/2021,0,0,,,,,No,Entry,Other,Healthcare,3/13/2023 18:51:27
Organic Girl,Help Desk Level 2,"organicgirl- Help Desk Level 2 Associate (Salinas, CA - Work St.) (theapplicantmanager.com)",Company Site,CA,n,11/22/2021,n,476,Ghosted,,,,,,,,,No,Entry,IT,Agriculture,3/13/2023 18:51:27
Central Coast Community Energy,Information Technology Support Specialist,Job Opportunities | Central Coast Community Energy Careers (governmentjobs.com),Company Site,CA,n,11/22/2021,n,476,Ghosted,,,,,,Yes,"55,000",Salary,No,Mid,IT,Utilities,3/13/2023 18:51:27
Home Depot,"Sr. Analyst, Customer Insights, Market Research",Linkedin,LinkedIn,Remote,y,11/27/2021,y,471,Rejected,,11/30/2021,3,3,,,,,No,Senior,Data Science,Retail,3/13/2023 18:51:27
CPR Cell Phone Repair,Smartphone and Consumer Electronics Repair Technician,Linkedin,LinkedIn,CA,n,11/27/2021,y,471,Ghosted,,,,,,,,,No,Entry,IT,Retail,3/13/2023 18:51:27
MOONVU,Image Classification,Linkedin,LinkedIn,Remote,y,11/27/2021,y,471,Ghosted,,,,,11,Yes,,Wage,No,Intern,Data Science,Finance,3/13/2023 18:51:27
Everest.Inc,Software Engineer,linkedin,LinkedIn,CA,n,12/1/2021,y,467,Interview,,12/2/2021,1,1,,,,,No,Intern,IT,Consulting,3/13/2023 18:51:27
The Salty Seal Brewpub & Sports Bar,Cook,linkedin,LinkedIn,CA,n,12/1/2021,y,467,Rejected,,12/4/2021,3,3,,,,,No,Entry,Restaurant,Restaurant,3/13/2023 18:51:27
Harnham,Data Analyst (Contract to Hire),linkedin,LinkedIn,CA,y,12/1/2021,y,467,Ghosted,,,,,33,Yes,,Contract,No,Mid,Data Science,Staffing,3/13/2023 18:51:27
Landry's HR / Bubba Gump,Line Cook,sjobs,Company Site,CA,n,12/1/2021,n,467,Interview,12/06/2021,12/2/2021,1,11,,,,,No,Entry,Restaurant,Restaurant,3/13/2023 18:51:27
Landry's HR / Bubba Gump,Prep cook,sjobs,Company Site,CA,n,12/1/2021,n,467,Interview,12/06/2021,12/2/2021,1,11,,,,,No,Entry,Restaurant,Restaurant,3/13/2023 18:51:27
CSUMB,Student Assistant to Facilities Coordinator,otterjobs / symplicity.com,OtterJobs,CA,n,12/1/2021,y,467,Ghosted,,,,,,,,,No,Entry,Other,Education,3/13/2023 18:51:27
Stalco Construction,Bookkeeping Clerk (Part Time),otterjobs / symplicity.com,OtterJobs,CA,n,12/1/2021,y,467,Ghosted,,,,,,Yes,"50,000",Salary,No,Entry,Data Science,Construction,3/13/2023 18:51:27
Monterey Sports Center,Front Desk Attendant,otterjobs / symplicity.com,OtterJobs,CA,n,12/1/2021,y,467,Ghosted,,,,,14,Yes,,Wage,No,Entry,Retail,Recreation,3/13/2023 18:51:27
IMC,Graduate Quant Trader,ripplematch.com,RippleMatch,IL,n,12/1/2021,y,467,Rejected,,12/7/2021,6,6,,,,,No,Entry,Data Science,Finance,3/13/2023 18:51:27
CSUMB,TA Operating Systems,Private Email,Email,CA,n,12/5/2021,n,463,Interview,12/6/2021,12/5/2021,0,,15,Yes,,Wage,Yes,Entry,IT,Education,3/13/2023 18:51:27
Shooting Starts Foundation,Teach Coding - College Intern,Linkedin,LinkedIn,Remote,y,12/11/2021,y,457,Rejected,,12/14/2021,3,3,15,Yes,,Wage,No,Intern,Software Engineer,Education,3/13/2023 18:51:27
IT Minds LLC,Python Developer,Dice,Dice,Remote,y,12/12/2021,y,456,Ghosted,,,,,,,,,No,Entry,Software Engineer,Consulting,3/13/2023 18:51:27
OneAPPS,Data Architect,DICe,Dice,Remote,y,12/12/2021,y,456,Ghosted,,,,,,,,,No,Mid,Data Science,Consulting,3/13/2023 18:51:27
Essintial Enterprise Solutions,POS Field Technician,,Linkedin,CA,n,12/13/2021,y,455,Ghosted,,,,,30,Yes,,Wage,No,Entry,IT,Consulting,3/13/2023 18:51:27
Servsys Corporation,Junior Network Engineer,,Linkedin,Remote,y,12/13/2021,y,455,Ghosted,,,,,,,,,No,Entry,IT,IT,3/13/2023 18:51:27
CodePath,TA,,Email,Remote,y,12/20/2021,n,448,Rejected,,1/10/2022,21,21,25,Yes,,Wage,No,Entry,IT,Education,3/13/2023 18:51:27
Confidential,Data Analyst (w2 only),,Linkedin,Remote,y,7/5/2022,y,251,Ghosted,,,,,55,Yes,,Wage,No,Mid,Data Science,Consulting,3/13/2023 18:51:27
Bloom Energy,"Staff Engineer, Machine Integration and Metrology",,ZipRecruiter,CA,n,6/17/2022,y,269,Ghosted,,,,,,Yes,,,No,Mid,Electrical Engineering,Energy,3/13/2023 18:51:27
